slug,volume,most_expensive_nft_id,volume_eth,max_price,mean_price,median_price,bucket
cryptoskulls,3,4418119,0.24000000000000002,0.1,0.08,0.0700181078836171,2021-10-07 00:00:00+00:00
cryptoskulls,12,4423961,1.266,0.4,0.1055,0.06002456177152414,2021-10-04 00:00:00+00:00
mlb-champions,6,4435675,5.279,3.5,0.8798333333333334,0.649858492482153,2021-10-06 00:00:00+00:00
memetoken,2,4452532,0.011,0.006,0.0055,0.00600596459124994,2021-10-02 00:00:00+00:00
memetoken,3,4453134,0.0155,0.01,0.005166666666666667,0.0030004216915727588,2021-10-03 00:00:00+00:00
cryptominerworld,2,4470681,0.018000000000000002,0.01,0.009000000000000001,0.010001681651251936,2021-10-07 00:00:00+00:00
cryptoskulls,11,4519418,0.833,0.1,0.07572727272727273,0.09008502770839026,2021-10-06 00:00:00+00:00
dada-collectible,1,4548876,0.5,0.5,0.5,0.5000732301419163,2021-10-01 00:00:00+00:00
dada-collectible,1,4549703,0.55,0.55,0.55,0.5504601583541955,2021-10-07 00:00:00+00:00
dada-collectible,1,4549820,0.5,0.5,0.5,0.5000732301419163,2021-10-05 00:00:00+00:00
dada-collectible,1,4550116,0.45,0.45,0.45,0.44977817314041274,2021-10-04 00:00:00+00:00
mlb-champions,5,4554521,0.329,0.298,0.0658,0.010001681651251936,2021-10-03 00:00:00+00:00
blockchaincuties,1,4566661,0.0004,0.0004,0.0004,0.0003996173441572096,2021-10-05 00:00:00+00:00
cryptoarte,10,4568342,3.5150000000000006,1.5,0.35150000000000003,0.21980796394053284,2021-10-02 00:00:00+00:00
cryptoskulls,21,4606383,1.205,0.1,0.05738095238095239,0.040966461263487415,2021-10-05 00:00:00+00:00
editional,4,4609658,0.1608,0.1,0.0402,0.05281281125300406,2021-10-06 00:00:00+00:00
cryptoskulls,16,4612744,0.8770000000000002,0.1,0.054812500000000014,0.050036552115057094,2021-10-02 00:00:00+00:00
cryptoskulls,8,4614747,0.38499999999999995,0.06,0.048124999999999994,0.050036552115057094,2021-10-03 00:00:00+00:00
enjin,1,4651261,0.099,0.099,0.099,0.09896378825113773,2021-10-07 00:00:00+00:00
dragon-riders-of-kriptomat,4,4758307,0.2993,0.1,0.074825,0.09995839119153871,2021-10-02 00:00:00+00:00
superrare,14,4809059,201.26500000000001,100.0,14.37607142857143,3.5008294203608017,2021-10-01 00:00:00+00:00
ether-legends,1,4957965,0.0001,0.0001,0.0001,9.993370215083882e-05,2021-10-06 00:00:00+00:00
ens,16,5011278,7.948544384930187,3.1415,0.4967840240581367,0.2000873943088987,2021-10-03 00:00:00+00:00
hotrods,2,5023009,0.8,0.5,0.4,0.5000732301419163,2021-10-06 00:00:00+00:00
somnium-space,3,5069094,3.6013,1.8,1.2004333333333335,1.798584012618256,2021-10-04 00:00:00+00:00
rabanheidr-1,1,5080004,0.075,0.075,0.075,0.07494495534270113,2021-10-04 00:00:00+00:00
somnium-space,3,5080920,12.29,6.6,4.096666666666667,3.687688854005165,2021-10-07 00:00:00+00:00
somnium-space,2,5101441,3.0012,3.0,1.5006,3.0011629583492887,2021-10-01 00:00:00+00:00
somnium-space,2,5101515,2.0012,2.0,1.0006,1.9997051226201594,2021-10-02 00:00:00+00:00
somnium-space,6,5103320,7.9443,3.7,1.32405,1.748922154261417,2021-10-03 00:00:00+00:00
bitairt,4,5138341,2.2,0.75,0.55,0.6997720645753496,2021-10-04 00:00:00+00:00
bitairt,5,5139197,2.739,0.64,0.5478,0.5504601583541955,2021-10-02 00:00:00+00:00
bitairt,2,5139211,1.9,1.0,0.95,0.999,2021-10-06 00:00:00+00:00
bitairt,3,5139213,1.379,0.55,0.45966666666666667,0.4304169964589291,2021-10-03 00:00:00+00:00
bitairt,3,5139334,1.67,0.61,0.5566666666666666,0.5798413880809643,2021-10-01 00:00:00+00:00
mlb-champions,10,5175930,1.1989999999999998,0.75,0.11989999999999998,0.019980433599225328,2021-10-07 00:00:00+00:00
mlb-champions,4,5471209,0.0529,0.025,0.013225,0.019980433599225328,2021-10-02 00:00:00+00:00
ens,13,5482481,8.3499,3.0,0.6423,0.15993287052597238,2021-10-05 00:00:00+00:00
cheezewizard,1,5502302,0.15,0.15,0.15,0.15001782894228086,2021-10-06 00:00:00+00:00
cheezewizard,1,5504297,0.086,0.086,0.086,0.0860349803074222,2021-10-01 00:00:00+00:00
somnium-space,1,5506631,0.0014,0.0014,0.0014,0.001400392547859867,2021-10-05 00:00:00+00:00
cheezewizard,1,5509018,0.08,0.08,0.08,0.08005820537516704,2021-10-02 00:00:00+00:00
ens,25,5521286,24.043900000099992,8.6,0.9617560000039996,0.2000873943088987,2021-10-06 00:00:00+00:00
chainguardians,10,5627822,5.089999999999999,1.1,0.5089999999999999,0.5000732301419163,2021-10-05 00:00:00+00:00
mlb-champions,4,5688392,0.972,0.45,0.243,0.2967097457714657,2021-10-01 00:00:00+00:00
miss-al-simpson,1,6706951,1.0,1.0,1.0,0.999,2021-10-01 00:00:00+00:00
decadent-halloween-13-items,1,7295157,0.52,0.52,0.52,0.5204816127566546,2021-10-05 00:00:00+00:00
mlb-champions,3,8690428,0.38989999999999997,0.3,0.12996666666666665,0.050036552115057094,2021-10-05 00:00:00+00:00
known-origin,12,8748822,31.1024,30.0,2.5918666666666668,0.09508336134242105,2021-10-01 00:00:00+00:00
known-origin,13,9000471,34.632,32.0,2.6639999999999997,0.19495216757395561,2021-10-02 00:00:00+00:00
cryptovoxels,8,9561044,20.92874547270897,4.0,2.6160931840886215,2.5986701108275327,2021-10-06 00:00:00+00:00
cryptovoxel-wearables,1,13048312,0.01,0.01,0.01,0.010001681651251936,2021-10-05 00:00:00+00:00
knightstory,1,13097371,0.003,0.003,0.003,0.0030004216915727588,2021-10-04 00:00:00+00:00
ens,10,13201021,2.8884,1.5,0.28884,0.09008502770839026,2021-10-04 00:00:00+00:00
ethera,1,13233268,0.5,0.5,0.5,0.5000732301419163,2021-10-06 00:00:00+00:00
known-origin,15,13253315,61.2435,44.44,4.0828999999999995,0.049045761673051365,2021-10-07 00:00:00+00:00
megacryptopolis,1,13283396,0.029,0.029,0.029,0.028984279553626594,2021-10-04 00:00:00+00:00
colorglyphs,2,13288630,9.75,5.0,4.875,4.9978110987650854,2021-10-01 00:00:00+00:00
